ICSD,kappa_exp,composition,kappa_latt_comp
412478.0,,Ag3 K3 Nb2 S8,0.97
281166.0,,Bi1 Rb1 S4 Si1,0.97
641277.0,,K2 Ni3 Se4,0.97
72386.0,,K2 Se8 Sn4,0.97
73327.0,,K3 Nb1 Se4,0.97
65452.0,,K6 Mn1 Te4,0.97
409953.0,,Na4 Si4,0.97
24805.0,,O2 Rb2 Sn1,0.97
51115.0,,Rb3 S4 Ta1,0.97
248222.0,,B1 Ba1 Bi1 S4,0.98
422272.0,,Ba1 Cd1 K2 Sb2,0.98
71302.0,,Cu2 K1 Nb1 Se4,0.98
79121.0,,In4 Te3,0.98
73175.0,,Rb2 S2,0.98
66841.0,,Ag1 Rb2 S4 V1,0.99
12158.0,,Cu1 K1 Te1,0.99
409729.0,,Ge2 Rb4 S6,0.99
65457.0,,Mn1 Rb2 Se2,0.99
644182.0,,Mo1 Rb2 Se4,0.99
55237.0,,Ag1 Te1,1.0
163982.0,,Ag3 Cu1 S2,1.0
617021.0,,Bi2 S3,1.0
200794.0,,Bi3 Cs1 S5,1.0
84303.0,,Cu1 K2 Se4 V1,1.0
633208.0,,Fe1 Rb1 S2,1.0
170601.0,,Ge2 K2 Pb1 S6,1.0
65184.0,,P6 Rb4,1.0
26332.0,,S13 Sb6 Sn4,1.0
84004.0,,Au1 Na1 Se2,1.01
300170.0,,Ga2 K6 Se6,1.01
300163.0,,Al2 Na6 Te6,1.02
98522.0,,B18 Cs8 S18,1.02
421485.0,,Bi1 K1 S4 Si1,1.02
84304.0,,Cu1 Nb1 Rb2 S4,1.02
281504.0,,Ge2 Hg3 K2 S8,1.02
77181.0,,In1 K2 Na1 Sb2,1.02
56388.0,,In5 S6 Tl1,1.02
40430.0,,K2 Pt1 Se2,1.02
603622.0,,Mo3 Rb1 S3,1.02
78788.0,,Na2 Pt4 Se6,1.02
654296.0,,P3 Rb2,1.02
300157.0,,Al1 K1 Sb4,1.03
71593.0,,B1 S2 Tl1,1.03
422273.0,,Cd1 K2 Sb2 Sr1,1.03
41323.0,,Cs1 Na1 S1,1.03
98476.0,,Cu1 Hf2 Na1 Se5,1.03
281423.0,,Cu1 K1 Pd1 Se5,1.03
41167.0,,In2 Sr1 Te4,1.03
1412.0,,K2 O3 Pb2,1.03
24816.0,,O3 Rb2 Sn2,1.03
52586.0,,Ag1 K1 Se1,1.04
44701.0,,Al1 Na1 Te2,1.04
609963.0,,As1 Cd1 K1,1.04
300190.0,,As2 Cd1 K4,1.04
85583.0,,Au4 Cd1 K2 S4,1.04
73889.0,,Cu1 Na1 Te3 Zr1,1.04
99507.0,,Fe2 K1 S3,1.04
300207.0,,In1 S3 Sb1,1.04
414188.0,,Li1 Rb2 S4 Ta1,1.04
603625.0,,Mo3 Na1 Se3,1.04
73711.0,,S3 Sn1 Zr1,1.04
90119.0,,Ag2 K2 Se4 Sn1,1.05
88849.0,,Ba2 Cd1 Te3,1.05
89586.0,,Fe1 K3 Se3,1.05
409454.0,,Fe2 Rb3 Se4,1.05
635281.0,,Ga1 S2 Tl1,1.05
67276.0,,K1 Na1 Te1,1.05
51114.0,,Nb1 Rb3 S4,1.05
26259.0,,Pt1 Rb2 S2,1.05
409547.0,,Au1 Na1 O2,1.06
280634.0,,Cs4 S14 Ti3,1.06
71512.0,,Cu8 K4 Te11,1.06
639158.0,,Hg1 Rb6 S4,1.06
24118.0,,K2 Mo3 O10,1.06
604788.0,,Ag3 Au1 Te2,1.07
409653.0,,As1 K1,1.07
418886.0,,Ba11 Cd6 Sb12,1.07
419821.0,,Cs1 Ga3 S5,1.07
639060.0,,Hg1 K6 Se4,1.07
23253.0,,In2 Rb4 S5,1.07
72379.0,,K2 Se5 Sn2,1.07
26473.0,,Na1 Sb1,1.07
31859.0,,Bi2 Pb1 S4,1.08
409178.0,,Ca1 Rb1 Sb1,1.08
30752.0,,K1 Mo3 S3,1.08
60138.0,,K1 S2 Sb1,1.08
648724.0,,Pd1 Rb2 Se2,1.08
36584.0,,Rb2 Se1,1.08
409804.0,,Rb4 S6 Si2,1.08
79615.0,,B3 Rb3 S6,1.09
97427.0,,Bi2 Cd1 Cs2 S5,1.09
84302.0,,Cu1 Rb2 S4 V1,1.09
73581.0,,Ag6 K2 S4,1.1
300137.0,,As2 In1 K2 Na1,1.1
2489.0,,Au2 Ba1 S4 Sn1,1.1
411609.0,,B1 Rb3 S3,1.1
280022.0,,Ba5 Sb4,1.1
77274.0,,Ga1 K6 Na3 Sb4,1.1
637782.0,,Ge1 S2,1.1
41709.0,,K1 Mg1 Sb1,1.1
409563.0,,K2 Mo1 S4,1.1
412535.0,,K2 S1,1.1
15579.0,,Na6 Si2 Te6,1.1
36243.0,,O3 Pb2,1.1
90795.0,,Ag3 Rb1 Se2,1.11
41165.0,,Al2 Ba1 Te4,1.11
409919.0,,As2 K4 Zn1,1.11
421425.0,,Ba2 Sb2 Zn1,1.11
42136.0,,Bi1 Ca2,1.11
260060.0,,Cs2 Hg6 S7,1.11
280059.0,,Cu2 K1 Se4 V1,1.11
23465.0,,In4 Se3,1.11
2266.0,,K2 O2 Pb1,1.11
25329.0,,K2 S7 Sb4,1.11
73172.0,,K2 Se2,1.11
78937.0,,Mn3 Rb2 Se4,1.11
47164.0,,O3 Rb1,1.11
16308.0,,Ba1 Fe2 Se3,1.12
83671.0,,Ba6 Cu3 Na1 Te14,1.12
67263.0,,Hg1 K4 P2,1.12
40062.0,,K2 Pt4 S6,1.12
414545.0,,La1 Rb1 S4 Si1,1.12
84292.0,,Ag1 K2 Nb1 S4,1.13
1034.0,,Ag3 Rb1 S2,1.13
41166.0,,Ga2 Sr1 Te4,1.13
65668.0,,Hf1 Pb1 S3,1.13
41885.0,,K2 Pd3 S4,1.13
409565.0,,Rb3 S4 V1,1.13
603624.0,,Ag1 Mo3 Se3,1.14
609264.0,,Al1 S2 Tl1,1.14
43985.0,,As1 K1 Zn1,1.14
88715.0,,Ba1 Cu1 La1 Te3,1.14
245998.0,,Rb1 Sc5 Te8,1.14
54859.0,,Ag1 In3 K2 Se6,1.15
401209.0,,Al1 K6 Na3 Sb4,1.15
23254.0,,As1 Au1 Na2,1.15
73694.0,,Ga1 Ge1 K1 S4,1.15
73970.0,,Ge1 K1 La1 S4,1.15
641298.0,,K2 Pd1 Se2,1.15
72384.0,,Na4 Se4 Sn1,1.15
246048.0,,Ag2 Ba1 Te2,1.16
409727.0,,Ag4 Rb2 S3,1.16
32728.0,,Al1 Ba3 Sb3,1.16
73084.0,,B1 Rb1 S3,1.16
173172.0,,Ca2 Cd1 Sb2,1.16
23252.0,,In2 Rb6 S6,1.16
9135.0,,In6 Se7,1.16
97282.0,,O4 Pb3,1.16
23462.0,,Pb1 S3 Sn1,1.16
60950.0,,Al2 As3 K3,1.17
300172.0,,Al2 K6 Se6,1.17
40698.0,,As2 Au1 K5,1.17
49750.0,,Ba2 Se4 Si1,1.17
67388.0,,Co1 Rb2 S2,1.17
281194.0,,Cu1 In3 K2 Se6,1.17
59355.0,,K3 S4 Ta1,1.17
402584.0,,Na2 Se4,1.17
16571.0,,S4 Ta1 Tl3,1.17
300129.0,,As2 Ga1 K2 Na1,1.18
98521.0,,B18 Rb8 S18,1.18
402578.0,,Cu1 Hf1 Na1 Se3,1.18
89587.0,,Fe2 K3 Se4,1.18
402274.0,,Fe2 Na3 Se4,1.18
155418.0,,Ge1 S1,1.18
26882.0,,Na3 Sb1,1.18
15494.0,,S5 Sn2 Tl2,1.18
66840.0,,Ag1 K2 S4 V1,1.19
414139.0,,As2 Ba1,1.19
40426.0,,As2 K2 Si1,1.19
402338.0,,As3 Ba3 In1,1.19
248221.0,,B1 Ba1 S4 Sb1,1.19
67390.0,,Co1 K2 Se2,1.19
402422.0,,Cu1 K2 Nb1 S4,1.19
20560.0,,Cu2 S1,1.19
41954.0,,O1 Sn1,1.19
66582.0,,Ag1 Cu1 S1,1.2
42036.0,,Ba2 S4 Sn1,1.2
14189.0,,Bi2 Hg1 S4,1.2
72326.0,,K1 Rb1 S1,1.2
65456.0,,K2 Mn1 Se2,1.2
641323.0,,K3 S3 Sb1,1.2
40429.0,,Na2 Pt1 Se2,1.2
171959.0,,Ag3 Au1 Se2,1.21
71645.0,,Ag7 Rb1 S4,1.21
97426.0,,Bi2 Cs2 S5 Zn1,1.21
280516.0,,Cu2 Rb1 S4 V1,1.21
419996.0,,Rb1 Te2 Y1,1.21
173922.0,,Ba1 O1,1.22
68383.0,,Fe1 K1 S2,1.22
603184.0,,K1 La1 S4 Si1,1.22
641376.0,,K2 Te1,1.22
402642.0,,K3 S4 Sb1,1.22
2587.0,,Ba1 S2 Sn1,1.23
418887.0,,Cd6 Sb12 Sr11,1.23
415016.0,,Cs1 K5 S17 Sn5 Zn4,1.23
36468.0,,In2 Sb6 Sr5,1.24
81731.0,,K2 Ni3 S4,1.24
357.0,,La1 P5,1.24
65454.0,,Mn1 Rb2 S2,1.24
68489.0,,Na1 Rb1 S1,1.24
422941.0,,As2 Ba2 Cd1,1.25
49751.0,,Ba2 Si1 Te4,1.25
16272.0,,Ge1 Pb2 S4,1.25
65450.0,,K6 Mn1 Se4,1.25
16963.0,,N3 Rb1,1.25
35415.0,,O7 Pb4 Rb2,1.25
108097.0,,Ba1 Te1,1.26
49739.0,,Cs2 S3 Ti1,1.26
98654.0,,K1 La1 Te2,1.26
65451.0,,Mn1 Na6 Te4,1.26
80280.0,,Ba1 Te2,1.27
12157.0,,Cu1 K1 Se1,1.27
170843.0,,Ag2 Ge1 K2 S4,1.28
15115.0,,Au1 K1 O2,1.28
408441.0,,Bi2 Ga4 S8,1.28
68605.0,,Co1 K6 Se4,1.28
2216.0,,K2 O3 Sn2,1.28
73280.0,,Al1 As2 K2 Na1,1.29
300164.0,,Ga2 Na6 Se6,1.29
1263.0,,K2 S3,1.29
261677.0,,Ba2 Bi1 Ga1 S5,1.3
262882.0,,Ba2 Ga1 Se5 Y1,1.3
61084.0,,Cd1 K4 P2,1.3
26258.0,,K2 Pt1 S2,1.3
74873.0,,K6 O5 Pb2,1.3
67254.0,,Li1 Rb1 S1,1.3
76353.0,,Mo9 Se11,1.3
863.0,,Ag4 K2 S3,1.31
421423.0,,As2 Ba2 Zn1,1.31
66653.0,,Ba2 Cd1 Se3,1.31
41755.0,,Ba2 Si1,1.31
53242.0,,Cs2 S4 Zn3,1.31
80625.0,,Cu1 K1 Se3 Zr1,1.31
16358.0,,Ba1 Se2,1.32
73888.0,,Cu1 Na1 Se3 Zr1,1.32
655974.0,,Cu2 Hf1 Te3,1.32
402424.0,,Cu2 K1 S4 V1,1.32
79225.0,,Fe2 Rb3 S4,1.32
73281.0,,In1 K3 P2,1.32
67278.0,,K1 Na1 Se1,1.33
73326.0,,K3 Nb1 S4,1.33
43408.0,,Na2 Se2,1.33
25528.0,,O2 Rb2,1.33
248295.0,,Ba1 Ga4 Se7,1.34
262888.0,,Ba2 In1 Se5 Y1,1.34
33259.0,,K4 P6,1.34
648497.0,,Pb1 S3 Zr1,1.34
54102.0,,Ag4 K2 Se3,1.35
48168.0,,Al2 Na7 Sb5,1.35
401097.0,,B2 K2 S7,1.35
24386.0,,Ba1 Ga2 Se4,1.35
300169.0,,Ga2 K6 S6,1.35
300132.0,,In1 K2 Na1 P2,1.35
402124.0,,In3 S5 Tl1,1.35
42881.0,,Te4 V5,1.35
40700.0,,Au1 K5 P2,1.36
79614.0,,B3 K3 S6,1.36
240378.0,,Ba1 K4 S8 V2,1.36
421845.0,,Ba1 Rb1 S4 Ta1,1.36
300236.0,,Na6 Se7 Si2,1.36
66276.0,,Hg1 O2 Rb2,1.37
90335.0,,Ba1 Te4 Y2,1.38
246065.0,,Bi2 Pb3 S6,1.38
84299.0,,Cu1 Na3 Se4 Sn1,1.38
52652.0,,Al1 Sb3 Sr3,1.39
182158.0,,As1 Na1,1.39
88716.0,,Ba1 Cu1 Te3 Y1,1.39
412365.0,,Cs1 In3 S5,1.39
56463.0,,Cu2 Te3 Zr1,1.39
660294.0,,Hg1 K6 S4,1.39
643392.0,,Mn3 Rb2 S4,1.39
160105.0,,Si3 Sr5,1.39
202329.0,,Au1 Na3 S2,1.4
33238.0,,Ba1 Ga4 S7,1.4
26230.0,,Ba2 Mn1 Se3,1.4
151871.0,,Ag1 In5 Te8,1.41
610753.0,,As1 K1 Mg1,1.41
380478.0,,As2 Ba1 Ga2,1.41
421420.0,,As2 Na2,1.41
78175.0,,Ba1 Cu1 La1 Se3,1.41
35295.0,,Ba1 P10,1.41
624797.0,,Co3 Rb2 S4,1.41
603205.0,,Ge1 K1 S4 Y1,1.41
40457.0,,Li1 S2 Sb1,1.41
15732.0,,Ag3 Au1 S2,1.42
170857.0,,Ba1 Cu2 Se4 Sn1,1.42
25365.0,,Ba2 Ge1 S4,1.42
261680.0,,Ba4 In2 S8,1.42
619422.0,,Ca1 Mo6 S8,1.42
641342.0,,K3 S4 V1,1.42
602243.0,,Rb2 S4 Zn3,1.42
32648.0,,Ba1 Hg1 S2,1.43
94260.0,,Ba1 Si2,1.43
409973.0,,Ba2 Si4,1.43
90911.0,,La1 Te2,1.43
69677.0,,As1 Na3,1.44
100110.0,,As4 Sr3,1.44
411607.0,,B1 K3 S3,1.44
66655.0,,Ba1 Cd1 S2,1.44
10456.0,,Ba1 Hg1 S4 Sn1,1.44
16359.0,,Ba1 Se3,1.44
202878.0,,Ba3 S8 Ta2,1.44
30247.0,,Ge2 K2 O7 Pb2,1.44
67260.0,,Hg1 Na4 P2,1.44
154635.0,,Ag2 In2 Se6 Si1,1.45
44704.0,,Al1 Na1 Se2,1.45
72324.0,,Al7 S12 Tl3,1.45
411460.0,,Au1 Na2 O2 Rb1,1.45
412516.0,,B2 Ba1 S4,1.45
59667.0,,In3 Rb1 S5,1.45
67261.0,,K4 P2 Zn1,1.45
73198.0,,Ag3 Na1 S2,1.46
38322.0,,Ba3 P4,1.46
201420.0,,Ba4 Ga2 S7,1.46
36467.0,,Ca5 In2 Sb6,1.46
634431.0,,Ga1 In1 Se3,1.46
300112.0,,Ga1 K2 Na1 P2,1.46
635052.0,,Ga2 Pb1 Se4,1.46
95228.0,,Hg4 Se6 Si1,1.46
20171.0,,Pb4 S13 Sb6,1.46
82353.0,,B3 Ba1 Li1 S6,1.47
12155.0,,Cu1 Na1 Se1,1.47
88717.0,,Ag1 Ba1 Te3 Y1,1.48
35150.0,,Ba2 Ge1 P2,1.48
32647.0,,Ba2 Hg1 S3,1.48
616062.0,,Ba2 S4 Si1,1.49
73145.0,,Cr5 Rb1 Se8,1.49
628251.0,,Cu1 La1 Se2,1.49
629351.0,,Cu3 Te4 V1,1.49
24774.0,,Hg1 O2,1.49
43406.0,,K2 S2,1.49
644359.0,,Mo6 Se8 Sn1,1.49
61092.0,,Na1 O1 Rb1,1.49
52216.0,,S2 Y1,1.49
183654.0,,Ag1 Ba2 In1 S4,1.5
610979.0,,As1 Na1 Zn1,1.5
170284.0,,B4 Ba7 S13,1.5
52831.0,,Cd1 Sb1,1.5
60860.0,,Cu3 Na1 Te2,1.5
53580.0,,Ga1 Mo4 S8 Si1,1.5
644966.0,,Na3 S3 Sb1,1.5
171145.0,,Sc2 Te3,1.5
659172.0,,Ag1 Ba1 La1 Se3,1.51
411530.0,,B1 Cs1 Li2 S3,1.51
402227.0,,Ba1 Na1 P1,1.51
602350.0,,Cr5 K1 Se8,1.51
602328.0,,Cr5 Na1 Se8,1.51
628495.0,,Cu3 Nb1 Te4,1.51
68366.0,,In2 S7 Sn3,1.51
419995.0,,K1 Te2 Y1,1.51
180802.0,,Ag2 Ge1 Pb1 S4,1.52
408439.0,,Al4 Bi2 S8,1.52
100049.0,,Ba1 Bi2 Mg2,1.52
52682.0,,Ba1 Ca1 Si1,1.52
16307.0,,Ba1 Fe2 S3,1.52
416326.0,,Ba1 Sc2 Te4,1.52
602576.0,,K1 S4 Si1 Y1,1.52
262646.0,,As6 Sn2 Sr5,1.53
409552.0,,Au1 O1 Rb1,1.53
401724.0,,B2 Na2 S5,1.53
409293.0,,Cu1 Hf1 K1 S3,1.53
65446.0,,Cu1 O2 Rb3,1.53
280644.0,,Cu2 Rb2 S4 Ti1,1.53
635400.0,,Ga2 Se4 Sr1,1.53
402286.0,,As4 Ga1 Na3 Sr3,1.54
26340.0,,Ge1 Hg2 O4,1.54
14010.0,,K1 P1,1.54
38349.0,,Na2 S5,1.54
280293.0,,O4 Rb4 Sn1,1.54
84317.0,,Ag7 Nb1 S6,1.55
402448.0,,As1 Na1 Sr1,1.55
70058.0,,Ba2 S3,1.55
201421.0,,Ba3 Ga2 S6,1.55
35342.0,,Ba6 P6 Sn2,1.55
26445.0,,Fe1 Na3 Se3,1.55
653637.0,,Ge1 Na2 S3,1.55
641296.0,,K2 Pd1 S2,1.55
170856.0,,Ag2 Ba1 Se4 Sn1,1.56
181985.0,,Al4 Ba1 Se7,1.56
409646.0,,Cu3 Rb1 S2,1.56
422940.0,,As2 Cd1 Sr2,1.57
616084.0,,Ba2 S4 Ti1,1.57
40878.0,,Cs1 In5 S8,1.57
636776.0,,Ge1 K3 S3,1.57
73551.0,,Ge2 O7 Rb6,1.57
50820.0,,Mn2 Na2 Se3,1.57
87219.0,,Na2 Pt1 S2,1.58
62139.0,,O3 Pb1 Rb2,1.58
6101.0,,O3 Rb2 Ti1,1.58
23315.0,,Bi3 In5 S12,1.59
66279.0,,Cr1 Ga1 Se3,1.59
27410.0,,Hg1 K2 O2,1.59
12160.0,,K1 P1 Zn1,1.59
608233.0,,Al1 In1 Se3,1.6
623958.0,,Co1 K2 S2,1.6
92772.0,,Na2 S1,1.6
52491.0,,Sr1 Te1,1.6
73310.0,,As4 Na8 Ti1,1.61
82351.0,,Co1 Na6 Se4,1.61
68347.0,,Ag1 Fe2 S3,1.62
616308.0,,Be1 La3 S7 Sb1,1.62
184000.0,,Ge3 Na1 P3,1.62
402125.0,,In5 S7 Tl1,1.62
36367.0,,K2 P2 Si1,1.62
200597.0,,Na1 S2 Sb1,1.62
16242.0,,Na6 S7 Sn2,1.62
262413.0,,As3 Sr2 Zn2,1.63
41183.0,,As4 Ba3 Si2,1.63
411608.0,,B1 Na3 S3,1.63
50512.0,,Ba3 Ge1 O1,1.63
65453.0,,K2 Mn1 S2,1.63
60440.0,,K2 Se1,1.63
202009.0,,Ba1 Pd1 S2,1.64
280.0,,Ba3 Fe1 S5,1.64
12146.0,,As2 Ba1 Zn2,1.65
203087.0,,Ba3 S5 Ti1,1.65
172572.0,,Bi1 S2 Tl1,1.65
100001.0,,Cu3 K1 S2,1.65
42035.0,,Na4 S4 Sn1,1.65
180572.0,,O1 Rb2,1.65
400581.0,,Cu2 Te3 Ti1,1.66
69123.0,,Hg6 O7 Si2,1.66
640348.0,,In6 S7,1.66
73189.0,,Au1 Ba4 Na1 O8,1.67
85461.0,,Ba1 Bi2 La1 S6,1.67
14175.0,,Ba1 S3 Ti1,1.67
68603.0,,Co1 K6 S4,1.67
89452.0,,Cu8 Ge1 S6,1.67
73007.0,,K2 S5 Sn2,1.67
73279.0,,Al1 K2 Na1 P2,1.68
33237.0,,Al4 Ba1 S7,1.68
639906.0,,In1 Li1 Te2,1.68
89574.0,,Ba1 Cu2 Se2,1.69
15138.0,,Ba1 Cu4 S3,1.69
261678.0,,Ba2 Bi1 In1 S5,1.69
83969.0,,Ba2 Cu3 S6 V1,1.69
49008.0,,Cu1 K1 S1,1.69
62138.0,,K2 O3 Pb1,1.69
41797.0,,Mg1 Na1 Sb1,1.69
412158.0,,Na2 Se3 Zr1,1.69
26264.0,,As1 Sr1,1.7
620172.0,,Cd1 Mo6 Se8,1.7
35597.0,,Ag1 In5 Se8,1.71
174375.0,,Cu4 K2 Se9 Y4,1.71
84723.0,,Se3 Sr1 Zr1,1.71
95093.0,,Ag8 Se6 Sn1,1.72
83353.0,,As2 Sr2,1.72
68616.0,,Ba1 Hg1 O2,1.72
67262.0,,Cd1 Na4 P2,1.72
95833.0,,Co2 O3 Rb2,1.72
624466.0,,Co8 Ni1 S8,1.72
100357.0,,Fe2 Na3 S4,1.72
280294.0,,As2 La1,1.73
52695.0,,Ba1 Se1,1.73
79613.0,,B3 Na3 S6,1.74
66654.0,,Ba2 Cd1 S3,1.74
402812.0,,Ba3 In2 P4,1.74
73376.0,,Cu1 Fe1 Se2,1.74
72304.0,,Fe1 Na6 Se4,1.74
34270.0,,K1 N3,1.74
182741.0,,Na2 Te1,1.74
411664.0,,O7 Rb6 Si2,1.74
418059.0,,Ag1 La3 Se7 Si1,1.75
160294.0,,Ba2 Co1 S3,1.75
26231.0,,Ba2 Mn1 S3,1.76
653999.0,,Ba2 S3 Zn1,1.76
417803.0,,Ag1 La3 Se7 Sn1,1.77
100048.0,,Bi2 Ca1 Mg2,1.77
23783.0,,Ge1 O2,1.77
300175.0,,In1 Na5 S4,1.77
42031.0,,Na4 S8 Sn3,1.77
49732.0,,Al2 Se4 Sr1,1.78
9725.0,,Ba6 O18 W4,1.78
183666.0,,Na2 O3 Ti1,1.78
262039.0,,P3 Rb1 Zn4,1.78
80624.0,,Cu1 K1 S3 Zr1,1.79
65056.0,,In1 P3 Sr3,1.79
26765.0,,Ba1 S3,1.8
154528.0,,Pb1 Sc2 Se4,1.8
422578.0,,As2 Ca2 Cd1,1.81
61037.0,,As6 Ca5 Sn2,1.81
82352.0,,B1 Ba1 Li1 S3,1.81
409385.0,,Cs1 In7 S9,1.81
240905.0,,Cu1 In1 La2 Se5,1.81
172521.0,,Ge1 O3 Pb1,1.81
62658.0,,K1 Na1 S1,1.81
37268.0,,K4 O4 Pb1,1.81
42134.0,,Ba1 S2,1.82
152545.0,,Cu1 La3 Se7 Sn1,1.82
25388.0,,Ge2 Na6 S7,1.82
300165.0,,In2 Na6 S6,1.82
281067.0,,La1 Rb1 Se2,1.82
79930.0,,Ba1 Pd2 S4,1.83
643795.0,,Mn1 Te2,1.83
415335.0,,Ba1 K1 Nb1 S4,1.84
616134.0,,Ba1 Se4 Y2,1.84
412056.0,,In7 Rb1 S9,1.84
108935.0,,K3 Mn1 O4,1.84
416887.0,,Na1 P1 Sr1,1.84
652178.0,,Se3 Y2,1.84
26416.0,,Ba1 Ge2 P2,1.85
74021.0,,Cu2 Rb2 S6 Sn2,1.85
47229.0,,K1 Li1 S1,1.85
65449.0,,Mn1 Na6 Se4,1.85
2586.0,,Na2 S4,1.85
423785.0,,As4 Ga2 Sr3,1.86
96544.0,,Ba1 P8,1.86
16309.0,,Ba6 Fe8 S15,1.86
61335.0,,In2 P4 Sr3,1.86
300166.0,,Al2 Na6 Se6,1.87
74969.0,,Al2 O6 Rb6,1.87
14069.0,,Fe1 Mo3 S4,1.87
2155.0,,K4 O18 Si8,1.87
76533.0,,Na2 Pd1 S2,1.87
63593.0,,P6 Sn2 Sr5,1.87
651944.0,,Se4 Sr1 Y2,1.87
160102.0,,Si1 Sr2,1.87
2270.0,,Ga2 O6 Rb6,1.88
63149.0,,Al1 As2 Na3,1.89
616297.0,,Be1 In1 La3 S7,1.89
40875.0,,In5 K1 S8,1.89
38321.0,,P4 Sr3,1.89
605920.0,,Ag1 Te2 Y1,1.9
659169.0,,Ba1 Cu1 Se3 Y1,1.9
78177.0,,Ag1 Ba1 Se3 Y1,1.91
402285.0,,Ga1 Na3 P4 Sr3,1.92
641231.0,,K1 Mg1 P1,1.92
32529.0,,La1 Se2,1.92
280534.0,,Au1 Li1 S1,1.93
160955.0,,Na1 P1 Zn1,1.93
67894.0,,Ag5 Ba2 La1 S6,1.94
44857.0,,Co9 Se8,1.94
95826.0,,Au1 N1 Sr2,1.95
